OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,USGS-09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",Stream,,15030104,182700,sq mi,178700,sq mi,34.29557035000000,-114.1402250000000,24000,10,seconds,Interpolated from MAP.,NAD83,300.54,feet,20,feet,Unknown.,NGVD29,US,06,071,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",Stream,,15030104,188500,sq mi,184500,sq mi,32.88493610000000,-114.4681110000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,06,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09521100,"COLORADO R BLW YUMA MAIN CANAL WW AT YUMA, AZ",Stream,,15030107,246500,sq mi,,,32.73171354000000,-114.6327306000000,24000,10,seconds,Interpolated from MAP.,NAD83,101.99,feet,20,feet,Unknown.,NGVD29,US,06,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324109115183304,017S016E10J001S PZ4,Well,,18100204,,,,,32.68619094000000,-115.3102061000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,41.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,Confined single aquifer,2016,595,ft,600,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324145115170902,017S016E01P001S PZ2,Well,,18100204,,,,,32.69635636000000,-115.2850658000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,40.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,Unconfined single aquifer,2016,120,ft,600,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324145115170904,017S016E01P001S PZ4,Well,,18100204,,,,,32.69635636000000,-115.2850658000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,40.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,Confined single aquifer,2016,500,ft,600,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324229115015101,017S019E04D002S,Well,,18100204,,,,,32.70827778000000,-115.0309167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,142.8,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,025,Basin and Range basin-fill aquifers,,,,400,ft,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324242115073501,016S018E32R001S,Well,,18100204,,,,,32.71169050000000,-115.1269249000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,118.5,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19640522,815,ft,815,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324243114562101,016S020E31R002S,Well,,18100204,,,,,32.71198459000000,-114.9392049000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,168.2,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,2012,620,ft,660,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324243114562102,016S020E31R003S,Well,,18100204,,,,,32.71196514000000,-114.9391605000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,160.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,025,,,,2017,516,ft,517,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324248114500601,016S020E58J001S,Well,,18100204,,,,,32.71347869000000,-114.8348635000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,171.8,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,20110523,148,ft,149,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324304114480402,016S021E31P002S,Well,,18100204,,,,,32.71771735000000,-114.8019174000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,196.8,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19861120,307,ft,348,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324325114461001,016S021E33E001S,Well,,18100204,,,,,32.72350874000000,-114.7703241000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,206.1,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19770708,120,ft,120,ft,NWIS
